sequence,filename,image_path,mask_path,accuracy,balanced_accuracy,macro_f1,high_risk_recall,unsafe_to_safe_error_rate,unsafe_to_medium_error_rate,safe_to_high_risk_rate,total_pixels,precision_low_risk,precision_medium_risk,precision_high_risk,recall_low_risk,recall_medium_risk,recall_high_risk,f1_low_risk,f1_medium_risk,f1_high_risk
creek,creek_01021.png,data\raw\rugd\RUGD_frames-with-annotations\RUGD_frames-with-annotations\creek\creek_01021.png,data\raw\rugd\RUGD_annotations\RUGD_annotations\creek\creek_01021.png,0.6723467230443975,0.3746642082599228,0.2800768084155727,0.8613276146978884,0.0669881136985976,0.07168427160351397,0.7401515151515151,378400,0.017037552155771907,0.010862440303399194,0.7534386037814254,0.25984848484848483,0.0028165252333952483,0.8613276146978884,0.031978370315122136,0.004473194574323478,0.8037788603572725
creek,creek_01086.png,data\raw\rugd\RUGD_frames-with-annotations\RUGD_frames-with-annotations\creek\creek_01086.png,data\raw\rugd\RUGD_annotations\RUGD_annotations\creek\creek_01086.png,0.6358403805496828,0.5067877287447818,0.4393418303469209,0.6601214815760682,0.3311548295165985,0.008723688907333297,0.5048559670781892,378400,0.02432554829527075,0.771163215590743,0.9414588920896659,0.4951440329218107,0.3650976717364665,0.6601214815760682,0.04637287926555719,0.4955726236485495,0.7760799881266559
creek,creek_01221.png,data\raw\rugd\RUGD_frames-with-annotations\RUGD_frames-with-annotations\creek\creek_01221.png,data\raw\rugd\RUGD_annotations\RUGD_annotations\creek\creek_01221.png,0.6243313953488372,0.6485526741334924,0.5056302855053653,0.595749075137597,0.3880508864547968,0.016200038407606154,,378400,0.0,0.9414015911086646,0.8878682823570071,0.0,0.7013562731293879,0.595749075137597,0.0,0.803840816509244,0.713050040006852
creek,creek_01301.png,data\raw\rugd\RUGD_frames-with-annotations\RUGD_frames-with-annotations\creek\creek_01301.png,data\raw\rugd\RUGD_annotations\RUGD_annotations\creek\creek_01301.png,0.6924947145877378,0.34054160533443173,0.3204510379802505,0.9416403433795384,0.054743766026236575,0.0036158905942249805,0.0,378400,0.0,0.8056977935015361,0.7196768943686573,0.0,0.07998447262375688,0.9416403433795384,0.0,0.14552241943213634,0.8158306945086151
creek,creek_03561.png,data\raw\rugd\RUGD_frames-with-annotations\RUGD_frames-with-annotations\creek\creek_03561.png,data\raw\rugd\RUGD_annotations\RUGD_annotations\creek\creek_03561.png,0.9520190274841438,0.9563265007106678,0.6345955052234008,0.9998474840738177,0.0,0.00015251592618229173,,378400,0.0,0.9998630295750756,0.9038594109599211,0.0,0.9128055173475179,0.9998474840738177,0.0,0.9543530074318414,0.949433508238361
creek,creek_03836.png,data\raw\rugd\RUGD_frames-with-annotations\RUGD_frames-with-annotations\creek\creek_03836.png,data\raw\rugd\RUGD_annotations\RUGD_annotations\creek\creek_03836.png,0.9445983086680761,0.6345002067820964,0.6304504869624834,0.9909518834732279,0.0,0.009048116526772098,0.00980392156862745,378400,0.0,0.987086082521831,0.8994681024992642,0.0,0.9125487368730612,0.9909518834732279,0.0,0.9483550718208078,0.9429963890666423
park-8,park-8_00016.png,data\raw\rugd\RUGD_frames-with-annotations\RUGD_frames-with-annotations\park-8\park-8_00016.png,data\raw\rugd\RUGD_annotations\RUGD_annotations\park-8\park-8_00016.png,0.9939059196617336,0.9590593184317964,0.9621794876083577,0.9964612699691233,0.00118673647469459,0.002351993556182038,0.0012383124038534972,378400,0.9963025979975133,0.9040969417195615,0.995723400031122,0.9966178251524707,0.8840988601737952,0.9964612699691233,0.9964601866447043,0.8939860778272282,0.9960921983531406
park-8,park-8_00381.png,data\raw\rugd\RUGD_frames-with-annotations\RUGD_frames-with-annotations\park-8\park-8_00381.png,data\raw\rugd\RUGD_annotations\RUGD_annotations\park-8\park-8_00381.png,0.9775766384778013,0.6409607458837269,0.6475455301515592,0.998348966743473,0.0,0.0016510332565270243,0.16382252559726962,378400,0.0,0.9926690056029743,0.9724829012247495,0.0,0.9245332709077076,0.998348966743473,0.0,0.9573903952890555,0.9852461951656222
park-8,park-8_01536.png,data\raw\rugd\RUGD_frames-with-annotations\RUGD_frames-with-annotations\park-8\park-8_01536.png,data\raw\rugd\RUGD_annotations\RUGD_annotations\park-8\park-8_01536.png,0.9598837209302326,0.8556475442581126,0.8081047851202608,0.9857180734440807,0.0005914685756824834,0.01369045798023679,0.2692816748887017,378400,0.38197611292073835,0.9792924576003997,0.9839120122962918,0.634941643604861,0.9462829157253962,0.9857180734440807,0.4769953900388683,0.962504750489666,0.9848142148322482
trail-10,trail-10_00096.png,data\raw\rugd\RUGD_frames-with-annotations\RUGD_frames-with-annotations\trail-10\trail-10_00096.png,data\raw\rugd\RUGD_annotations\RUGD_annotations\trail-10\trail-10_00096.png,0.9753118393234672,0.6521686108951198,0.6514025233009965,0.9997841040317317,0.0,0.0002158959682683135,0.0,378400,0.0,0.9903546909421514,0.9628313363698783,0.0,0.9567217286536275,0.9997841040317317,0.0,0.9732477291210867,0.9809598407819028
trail-11,trail-11_00381.png,data\raw\rugd\RUGD_frames-with-annotations\RUGD_frames-with-annotations\trail-11\trail-11_00381.png,data\raw\rugd\RUGD_annotations\RUGD_annotations\trail-11\trail-11_00381.png,0.9442838266384778,0.948775151574878,0.8944819705800043,0.9987015094952119,0.0005596941830983551,0.0007387963216898286,0.0015364028349110373,378400,0.645530353569046,0.9942350360232344,0.9492945607763024,0.9591614214204291,0.8884625238089934,0.9987015094952119,0.7716968718224774,0.9383775580430933,0.9733714818744426
trail-11,trail-11_01786.png,data\raw\rugd\RUGD_frames-with-annotations\RUGD_frames-with-annotations\trail-11\trail-11_01786.png,data\raw\rugd\RUGD_annotations\RUGD_annotations\trail-11\trail-11_01786.png,0.9677431289640592,0.9659675965017219,0.9655747659765538,0.9930581477622833,6.128440980327704e-05,0.006880567827913377,3.067578760084665e-05,378400,0.9538540086795909,0.9771399403172609,0.9662703898258225,0.9742630142028896,0.930581627539993,0.9930581477622833,0.9639504973784249,0.9532926516274598,0.9794811489237769
trail-3,trail-3_01476.png,data\raw\rugd\RUGD_frames-with-annotations\RUGD_frames-with-annotations\trail-3\trail-3_01476.png,data\raw\rugd\RUGD_annotations\RUGD_annotations\trail-3\trail-3_01476.png,0.5610597251585624,0.5333395861724399,0.3723925259891001,0.9936388924893068,0.006361107510693241,0.0,,378400,0.0,1.0,0.9687575943153208,0.0,0.07304027985557293,0.9936388924893068,0.0,0.1361370700182921,0.9810405079490082
trail-3,trail-3_01576.png,data\raw\rugd\RUGD_frames-with-annotations\RUGD_frames-with-annotations\trail-3\trail-3_01576.png,data\raw\rugd\RUGD_annotations\RUGD_annotations\trail-3\trail-3_01576.png,0.7074735729386892,0.3499555495718117,0.3611196821736366,0.9935038014932128,0.004449972045047409,0.002046226461739749,0.0,378400,0.0,0.8884783798576902,0.9617282132469349,0.0,0.05636284722222222,0.9935038014932128,0.0,0.10600124073529892,0.9773578057856108
trail-3,trail-3_02691.png,data\raw\rugd\RUGD_frames-with-annotations\RUGD_frames-with-annotations\trail-3\trail-3_02691.png,data\raw\rugd\RUGD_annotations\RUGD_annotations\trail-3\trail-3_02691.png,0.9522542283298098,0.936718937404479,0.9380132940794693,0.9945573237553418,0.003628450829772173,0.0018142254148860865,0.000441527095046066,378400,0.9255975176260335,0.9056476278540436,0.9868319736951636,0.9248619001363828,0.8907375883217126,0.9945573237553418,0.9252295626653317,0.8981307312485304,0.9906795883245457
trail-4,trail-4_02091.png,data\raw\rugd\RUGD_frames-with-annotations\RUGD_frames-with-annotations\trail-4\trail-4_02091.png,data\raw\rugd\RUGD_annotations\RUGD_annotations\trail-4\trail-4_02091.png,0.6124894291754757,0.5361214464107453,0.41803428012647825,0.9910670805192505,0.00893291948074946,0.0,0.5452365728900256,378400,0.023545477116610113,1.0,0.8755073307666235,0.4547634271099744,0.16253383160301094,0.9910670805192505,0.04477283099633319,0.2796199597544512,0.9297100496286503
trail-4,trail-4_03716.png,data\raw\rugd\RUGD_frames-with-annotations\RUGD_frames-with-annotations\trail-4\trail-4_03716.png,data\raw\rugd\RUGD_annotations\RUGD_annotations\trail-4\trail-4_03716.png,0.9671696617336152,0.9188765391169372,0.9369695516993216,0.9965260402632896,0.00012028946456753532,0.0033536702721428846,0.0037505175227101144,378400,0.9207144036876324,0.9790017025646569,0.9947885395902879,0.9956000422136171,0.7645035348739052,0.9965260402632896,0.9566940343623846,0.8585580888277954,0.9956565319077848
trail-4,trail-4_03731.png,data\raw\rugd\RUGD_frames-with-annotations\RUGD_frames-with-annotations\trail-4\trail-4_03731.png,data\raw\rugd\RUGD_annotations\RUGD_annotations\trail-4\trail-4_03731.png,0.9659196617336152,0.9304188448324368,0.9463992695646143,0.9983019961898452,0.0,0.001698003810154891,0.014571474538225222,378400,0.9385375624090819,0.9874211031068091,0.9800573275599195,0.983620498126853,0.8093340401806116,0.9983019961898452,0.9605503351687814,0.8895519389190275,0.9890955346060339
trail-5,trail-5_00591.png,data\raw\rugd\RUGD_frames-with-annotations\RUGD_frames-with-annotations\trail-5\trail-5_00591.png,data\raw\rugd\RUGD_annotations\RUGD_annotations\trail-5\trail-5_00591.png,0.7467970401691332,0.6664752467507192,0.5703275935290312,0.9784671552557531,0.019647978224120892,0.0018848665201259458,0.0052572853107628595,378400,0.5337885947310506,0.8756679729248308,0.9525091348807865,0.9947427146892371,0.026215870307167235,0.9784671552557531,0.6947614517550171,0.05090765996665528,0.9653136688654214
trail-5,trail-5_01741.png,data\raw\rugd\RUGD_frames-with-annotations\RUGD_frames-with-annotations\trail-5\trail-5_01741.png,data\raw\rugd\RUGD_annotations\RUGD_annotations\trail-5\trail-5_01741.png,0.8503594080338266,0.6512044804440538,0.5753808955762295,0.9815688700722607,0.018431129927739296,0.0,0.027955428740099375,378400,0.6040537751927912,0.0,0.9805379727660881,0.9720445712599006,0.0,0.9815688700722607,0.7450895361279101,0.0,0.9810531506007785
trail-5,trail-5_01791.png,data\raw\rugd\RUGD_frames-with-annotations\RUGD_frames-with-annotations\trail-5\trail-5_01791.png,data\raw\rugd\RUGD_annotations\RUGD_annotations\trail-5\trail-5_01791.png,0.2711971458773784,0.4606010825949964,0.31446905136196074,0.9212021651899928,0.07879783481000727,0.0,,378400,0.0,0.0,0.9667090575102445,0.0,0.0,0.9212021651899928,0.0,0.0,0.9434071540858822
trail-6,trail-6_00381.png,data\raw\rugd\RUGD_frames-with-annotations\RUGD_frames-with-annotations\trail-6\trail-6_00381.png,data\raw\rugd\RUGD_annotations\RUGD_annotations\trail-6\trail-6_00381.png,0.9332320295983086,0.9100661263862527,0.9174008766220753,0.9813763163654936,0.0030583456964272684,0.01556533793807914,0.0006662275621370763,378400,0.9423374784263397,0.9039725272395811,0.9380902840337795,0.9672715710100162,0.7815504917832489,0.9813763163654936,0.9546417403584276,0.8383156625558629,0.9592452269519353
trail-6,trail-6_01916.png,data\raw\rugd\RUGD_frames-with-annotations\RUGD_frames-with-annotations\trail-6\trail-6_01916.png,data\raw\rugd\RUGD_annotations\RUGD_annotations\trail-6\trail-6_01916.png,0.5105761099365751,0.6042481484765337,0.3365394284245724,0.9931668665721659,0.0068279410772050615,5.192350629053278e-06,0.18926553672316385,378400,0.0015723873441994248,0.9993906154783668,0.9847657979550439,0.8107344632768362,0.008843115580599067,0.9931668665721659,0.003138687328780232,0.01753110702527045,0.9889484909196665
trail-7,trail-7_00146.png,data\raw\rugd\RUGD_frames-with-annotations\RUGD_frames-with-annotations\trail-7\trail-7_00146.png,data\raw\rugd\RUGD_annotations\RUGD_annotations\trail-7\trail-7_00146.png,0.5820110993657506,0.49129323268015845,0.32379729974108923,0.9825864653603169,0.01741353463968305,0.0,,378400,0.0,0.0,0.9604495381636444,0.0,0.0,0.9825864653603169,0.0,0.0,0.9713918992232676
trail-7,trail-7_01246.png,data\raw\rugd\RUGD_frames-with-annotations\RUGD_frames-with-annotations\trail-7\trail-7_01246.png,data\raw\rugd\RUGD_annotations\RUGD_annotations\trail-7\trail-7_01246.png,0.930100422832981,0.6504850367523212,0.6322496169684909,0.9959820677068105,0.0012802452400570573,0.0027376870531323925,0.0,378400,0.0,0.8626659246993675,0.9841843077515715,0.0,0.955473042550153,0.9959820677068105,0.0,0.9067008084907578,0.9900480424147148
trail,trail_02116.png,data\raw\rugd\RUGD_frames-with-annotations\RUGD_frames-with-annotations\trail\trail_02116.png,data\raw\rugd\RUGD_annotations\RUGD_annotations\trail\trail_02116.png,0.5702167019027484,0.4865031836793593,0.3279371209409669,0.9730063673587186,0.02699363264128141,0.0,,378400,0.0,0.0,0.9948590266731216,0.0,0.0,0.9730063673587186,0.0,0.0,0.9838113628229007
trail,trail_02906.png,data\raw\rugd\RUGD_frames-with-annotations\RUGD_frames-with-annotations\trail\trail_02906.png,data\raw\rugd\RUGD_annotations\RUGD_annotations\trail\trail_02906.png,0.3481210359408034,0.5980301247847,0.32863239881554435,0.9342470041137543,0.06575299588624575,0.0,0.14015662975965434,378400,0.02604168796594297,0.0,0.9364453308831768,0.8598433702403456,0.0,0.9342470041137543,0.0505523206198375,0.0,0.9353448758267955
trail,trail_02976.png,data\raw\rugd\RUGD_frames-with-annotations\RUGD_frames-with-annotations\trail\trail_02976.png,data\raw\rugd\RUGD_annotations\RUGD_annotations\trail\trail_02976.png,0.22500528541226217,0.5092732659936667,0.2918351016113135,0.9842792900001253,0.01543260137039496,0.000288108629479776,0.30678343063664165,378400,0.014516896715849596,0.7,0.7157327115062304,0.5341951626355296,0.009345345345345346,0.9842792900001253,0.028265666372462493,0.018444448207542378,0.8287951902539357
trail,trail_03086.png,data\raw\rugd\RUGD_frames-with-annotations\RUGD_frames-with-annotations\trail\trail_03086.png,data\raw\rugd\RUGD_annotations\RUGD_annotations\trail\trail_03086.png,0.5345216701902749,0.6461709302627505,0.3405752623600054,0.9958251597002162,0.0041748402997837135,0.0,0.008154636061612805,378400,0.018378602775471476,0.8648648648648649,0.9499498586926793,0.9359710057384476,0.0067166253495878694,0.9958251597002162,0.036049345376924474,0.013329730703413494,0.9723467109996783
village,village_00518.png,data\raw\rugd\RUGD_frames-with-annotations\RUGD_frames-with-annotations\village\village_00518.png,data\raw\rugd\RUGD_annotations\RUGD_annotations\village\village_00518.png,0.757600422832981,0.5268816995011014,0.5417202744467995,0.9973468266151193,0.002653173384880702,0.0,0.7682045580878266,378400,0.0025224941160572516,0.9974650958141246,0.9861614713625845,0.1245136186770428,0.4587846532111422,0.9973468266151193,0.004944812362030905,0.6284934000910333,0.9917226108873343
